,banglaname,banglishnames
1635,চণ্ডিকা হাথুরুসিংহা,Chandika Hathurusingha
1636,চন্দ্রচুর সিং,Chandrachur Singh
1637,লি জার্মন,Lee Germon
1638,জাহাঙ্গীর আলম তালুকদার,Jahangir Alam Talukdar
1639,জিলিয়ান অ্যান্ডারসন,Gillian Anderson
1640,জেরি ইয়াং,Jerry Yang
1641,হিউ জ্যাকম্যান,Hugh Jackman
1642,টান্ডি দর্জি,Tandi Dorji
1643,টিটো ভিলানোভা,Tito Vilanova
1644,টিমোথি ম্যাকভেই,Timothy McVeigh
1645,রজার টোজ,Roger Twose
1646,মার্ক ডগলাস,Mark Douglas
1647,ডিঅর ফল সো,Dior Fall Sow
1648,অ্যাডাম ডেল,Adam Dale
1649,ড্যানিয়েল ক্রেইগ,Daniel Craig
1650,তানয়া দুবাশ,Tanya Dubash
1651,রবি তেজা,Ravi Teja
1652,দাফন কেলার,Daphne Koller
1653,আলীম দার,Aleem Dar
1654,দিদারুল আলম,Didarul Alam
1655,সেলিন দিয়ঁ,Celine Dion
1656,দিলিপ যোশী,Dilip Joshi
1657,দেব্রা মেসিং,Debra Messing
1658,দিদিয়ে দেশঁ,Didier Deschamps
1659,নাজিম উদ্দিন আহমেদ,Nazim Uddin Ahmed
1660,নাদিরা,Nadira
1661,নার্ফ,Narf
1662,নিজামুদ্দীন আউলিয়া লিপু,Leepu Nizamuddin Awlia
1663,নুরুন্নবী চৌধুরী শাওন,Nurunnabi Chowdhury
1664,নেহেমিয়া পেরি,Nehemiah Perry
1665,পাওলো মালদিনি,Paolo Maldini
1666,পিট ডক্টার,Pete Docter
1667,ক্রিস প্রিঙ্গল,Chris Pringle
1668,ফারাহ নাজ,Farah
1669,ক্যাথরিন ফিটজপ্যাট্রিক,Cathryn Fitzpatrick
1670,অ্যান্ডি ফ্লাওয়ার,Andy Flower
1671,আজমেরী হক বাঁধন,Azmeri Haque Badhon
1672,মার্ক বার্মেস্টার,Mark Burmester
1673,সঞ্জীবা বীরাসিংহে,Sanjeewa Weerasinghe
1674,এরিক ব্যানা,Eric Bana
1675,জশ ব্রোলিন,Josh Brolin
1676,মধুর ভান্ডারকর,Madhur Bhandarkar
1677,জুনিয়র মারে,Junior Murray
1678,পিটার মার্টিন,Peter Martin
1679,মার্সেল দেসায়ি,Marcel Desailly
1680,মাসুদুর রহমান বৈদ্য,Masudur Rahman Baidya
1681,মোনেম মুন্না,Monem Munna
1682,স্যাম রকওয়েল,Sam Rockwell
1683,শামীম আহমেদ রনি,Shamim Ahamed Roni
1684,হারুনুর রশীদ,Harunur Rashid
1685,রহমান,Rahman
1686,রাজকুমারী আয়েশা বিনতে হোসেন,Princess Aisha bint Hussein
1687,বিভাস রায়চৌধুরী,Bibhas Roy Chowdhury
1688,রাসমুস লার্ডফ,Rasmus Lerdorf
1689,রাহুল রায়,Rahul Roy
1690,রুচিরা পল্লিয়াগুরুগে,Ruchira Palliyaguruge
1691,রোনাল্ড ফেডকিউ,Ronald Fedkiw
1692,রশীদ লতিফ,Rashid Latif
1693,ক্রিস লুইস,Chris Lewis
1694,লোটে শেরিং,Lotay Tshering
1695,মারিন ল্য পেন,Marine Le Pen
1696,ল্যারি স্যাঙ্গার,Larry Sanger
1697,শতাব্দী রায়,Satabdi Roy
1698,শান্তনু মৈত্র,Shantanu Moitra
1699,দূরীন শাহনাজ,Durreen Shahnaz
1700,শাহবাজ আহমেদ,Shahbaz Ahmed
1701,সঙ্ঘমিত্রা বন্দ্যোপাধ্যায়,Sanghamitra Bandyopadhyay
1702,সম্পদ রাজ,Sampath Raj
1703,সলিল আঙ্কোলা,Salil Ankola
1704,সাইফুল আলম,Saiful Alam
1705,সাঈদ আনোয়ার,Saeed Anwar
1706,সাশা গ্রাবো,Sascha Grabow
1707,সুসান ওজস্কি,Susan Wojcicki
1708,সেলিনা বেগম,Salina Begum
1709,সৈয়দা রিজওয়ানা হাসান,Rizwana Hasan
1710,স্টুয়ার্ট ল,Stuart Law
1711,রিচার্ড স্নেল,Richard Snell
1712,হাওয়া ইব্রাহিম,Hauwa Ibrahim
1713,হাফিজ হামদুল্লাহ,Hafiz Hamdullah
1714,রিচার্ড হালসল,Richard Halsall
1715,নরেন্দ্র হিরওয়ানি,Narendra Hirwani
1716,নাসের হুসেন,Nasser Hussain
1717,হেপী বড়াল,Happy Baral
1718,হোসে মানুয়েল দিয়াজ,Manolo Díaz
1719,হুয়ান গেলমান,Juan Gelman
1720,জন ট্যাবারি,Jean Tabary
1721,অনুপ কুমার,Anup Kumar
1722,অনুভা গুপ্ত,Anubha Gupta
1723,অমলেন্দু দে,Amalendu De
1724,অ্যাডোনিস,Adunis
1725,জ্যাক অ্যালাব্যাস্টার,Jack Alabaster
1726,আকিরা সুজুকি,Akira Suzuki
1727,আবদুল করিম খন্দকার,A. K. Khandker
1728,আবদুল কাভি দেসনাভী,Abdul Qavi Desnavi
1729,আবদুল্লাহ আল মুতী শরফুদ্দিন,Abdullah-Al-Muti
1730,আব্দুল আলীম,Abdul Alim
1731,আব্রাহাম পিনকেনসন,Abram Pinkenson
1732,আলিমুদ্দিন,Alimuddin
1733,আল্লামা সুলতান যওক নদভী,Sultan Zauq Nadvi
1734,শাহ আহমদ শফী,Shah Ahmad Shafi
1735,ইন্দ্রানী রহমান,Indrani Rahman
1736,ইবনে মিজান,Ibne Mizan
1737,ইভানোভিচ আলফারভ,Zhores Alferov
1738,ইয়োহান গাল্টুঙ,Johan Galtung
1739,উইলিয়াম সি. ক্যাম্পবেল,William C. Campbell
1740,জোঅ্যান উডওয়ার্ড,Joanne Woodward
1741,এট্‌সখার ডেইক্‌স্ট্রা,Edsger W. Dijkstra
1742,এম আর আখতার মুকুল,M. R. Akhtar Mukul
1743,এম. এ. হান্নান,M. A. Hannan
1744,এস্তেলা বার্নেস দে কারলত্তো,Estela de Carlotto
1745,অ্যালেন ওকম্যান,Alan Oakman
1746,ওয়ারেন বাফেট,Warren Buffett
1747,জন ওয়েট,John Waite
1748,কিশোর পারেখ,Kishor Parekh
1749,কুমুদিনী লাখিয়া,Kumudini Lakhia
1750,কৃষ্ণা বসু,Krishna Bose
1751,কে. বালাচন্দর,K. Balachander
1752,রামনাথ কেনি,Ramnath Kenny
1753,ক্লিন্ট ইস্টউড,Clint Eastwood
1754,খোন্দকার মনোয়ার হোসেন,Khandkar Manwar Hossain
1755,জঁ-লুক গদার,Jean-Luc Godard
1756,গম্ভীর সিং মুড়া,Gambhir Singh Mura
1757,গাফার নিমাইরি,Jaafar Nimeiry
1758,গিলমার দস সান্তোস নেভেস,Gylmar dos Santos Neves
1759,গীতা বালি,Geeta Bali
1760,সি. ডি. গোপীনাথ,C. D. Gopinath
1761,গোবিন্দ হালদার,Gobinda Halder
1762,গোরো শিমুরা,Goro Shimura
1763,গোলাম ফরিদ সাবরি,Ghulam Farid Sabri
1764,গ্যারি বেকার,Gary Becker
1765,জয়সিংহরাও ঘোরপদে,Jayasinghrao Ghorpade
1766,চাইথোয়াই রোয়াজা,Chaithoai Roaza
1767,চার্লস কোরিয়া,Charles Correa
1768,চিনুয়া আচেবে,Chinua Achebe
1769,মারে চ্যাপেল,Murray Chapple
1770,জন এ্যালজিও,John Algeo
1771,জন ফ্রাঙ্কেনহাইমার,John Frankenheimer
1772,জন সুলিভান মায়ো,John S. Mayo
1773,জর্জ এলউড স্মিথ,George E. Smith
1774,জাক দেরিদা,Jacques Derrida
1775,জাহিদা জায়েদী,Zahida Zaidi
1776,জে জি ব্যালার্ড,J. G. Ballard
1777,জেরোম আইজ্যাক ফ্রিডম্যান,Jerome Isaac Friedman
1778,ক্যারোলিন জোন্স,Carolyn Jones
1779,জোসেফ আর. বেগিচ,Joseph Begich
1780,ফ্রাঙ্ক টাইসন,Frank Tyson
1781,ডেভ সেক্সটন,Dave Sexton
1782,ডেরেক ওয়ালকট‌,Derek Walcott
1783,ডেরেক কার্টিস বক,Derek Bok
1784,দারোজি এরাম্মা,Daroji Eramma
1785,সুষমা দাস,Shushama Das
1786,নাইমাতুল্লাহ খান,Naimatullah Khan
1787,নিল আর্মস্ট্রং,Neil Armstrong
1788,ফিলিপ নোয়ারে,Philippe Noiret
1789,চন্দ্রকান্ত পাটণকর,Chandrakant Patankar
1790,পিট কনরাড,Pete Conrad
1791,লেনডেন পিন্ডলিং,Lynden Pindling
1792,ম্যাট পুর,Matt Poore
1793,ফজলুর রহমান সুলতান,Fazlur Rahman Sultan
1794,ফজলুল হালিম চৌধুরী,Fazlul Halim Chowdhury
1795,বেগম ফজিলাতুন্নেসা,Sheikh Fazilatunnesa Mujib
1796,ফ্রাঙ্ক ড্রেক,Frank Drake
1797,বব গুচিওনি,Bob Guccione
1798,বাজ অলড্রিন,Buzz Aldrin
1799,জিম বার্ক,Jim Burke
1800,বাসু চ্যাটার্জী,Basu Chatterjee
1801,ফিরোজা বেগম,Firoza Begum
1802,রিচি বেনো,Richie Benaud
1803,কেন ব্যারিংটন,Ken Barrington
1804,ব্রহ্মাণাপাল্লি বালাইয়াহ,Brahmanapalli Balaiah
1805,দেবু ভট্টাচার্য,Debu Bhattacherjee
1806,ভূপতি ভূষণ চৌধুরী,Bhupati Bhushan Chowdhury
1807,আল্ফ ভ্যালেন্টাইন,Alf Valentine
1808,মজিবর রহমান দেবদাস,Mujibur Rahman Devdas
1809,মধুবালা,Madhubala
1810,মনু মুখোপাধ্যায়,Monu Mukhopadhyay
1811,অ্যালেন মস,Alan Moss
1812,সত্যপ্রিয় মহাথের,Satya Priya Mahathero
1813,মাইকেল কলিন্স,Michael Collins
1814,মার্টিন কারপ্লাস,Martin Karplus
1815,রয় মার্শাল,Roy Marshall
1816,মাস্টার আব্দুল্লাহ,Master Abdullah
1817,মাহমুদ ফার্শিয়ান,Mahmoud Farshchian
1818,মিহির সেন,Mihir Sen
1819,মুজিবুল হক,Mujibul Huq
1820,মুস্তফা আক্কাদ,Moustapha Akkad
1821,মুহাম্মদ গোলাম তাওয়াব,Muhammad Ghulam Tawab
1822,মুহাম্মদ হাবিবুর রহমান,Muhammad Habibur Rahman
1823,মাইকেল মেল,Michael Melle
1824,মোবাউটু সেজ সেকো,Mobutu Sese Seko
1825,স্টিভ ম্যাকুইন,Steve McQueen
1826,রয় ম্যাকলিন,Roy McLean
1827,ম্যাক্সিমিলিয়ান শেল,Maximilian Schell
1828,রবার্ট আউমান,Robert Aumann
1829,জেনা রোলান্ডস,Gena Rowlands
1830,লিয়ন কুপার,Leon Cooper
1831,ইয়ান লেগাট,Ian Leggat
1832,শন কনারি,Sean Connery
1833,শহীদ সাবের,Shahid Saber
1834,শান্তা রাও,Shanta Rao
1835,ক্লোদ শাব্রল,Claude Chabrol
1836,শামসুল ইসলাম খান,Shamsul Islam Khan
1837,শামীম শিকদার,Shamim Sikder
1838,শাহাবুদ্দিন আহমেদ,Shahabuddin Ahmed
1839,জো সলোমন,Joe Solomon
1840,সাঈদ খাজা আজিজ-উদ-দ্বীন,Sayed Khwaja Aziz-ud-Din
1841,সুধীন দাশ,Sudhin Das
1842,সুনীল দত্ত,Sunil Dutt
1843,সুভাষ দত্ত,Subhash Dutta
1844,সৈয়দ মুস্তাফা সিরাজ,Syed Mustafa Siraj
1845,স্টিফেন স্মেইল,Stephen Smale
1846,ব্রায়ান স্ট্যাদাম,Brian Statham
1847,স্বপন সাহা,Swapan Saha
1848,হাজরা মাশরুর,Hajira Masroor
1849,হাফেজ আল-আসাদ,Hafez al-Assad
1850,নোয়েল হারফোর্ড,Noel Harford
1851,টেড হিউজ,Ted Hughes
1852,হুসেইন মুহাম্মদ এরশাদ,Hussain Muhammad Ershad
1853,হেলমুট কোল,Helmut Kohl
1854,জিন হ্যাকম্যান,Gene Hackman
1855,হ্যারল্ড পিন্টার,Harold Pinter
1856,রিচার্ড হ্যারিস,Richard Harris
1857,ফ্রান্সিস্কো হেন্তো,Francisco Gento
1858,অজিতেশ বন্দ্যোপাধ্যায়,Ajitesh Bandopadhyay
